Event	Type	Space-Below	Level-Placed	Sections	Name											
1	1	0	1000	0	{[0001]	Amplexogra	latus	0	*	FAD	(C++	1)	(tag:	not	assigned)	Amplexograptus latus
2	1	0	1000	0	{[0002]	Amplexogra	longispinus	0	*	FAD	(C++	3)	(tag:	not	assigned)	Amplexograptus longispinus
3	1	0	1000	0	{[0003]	Rectograpt	socialis	0	*	FAD	(C++	5)	(tag:	not	assigned)	Rectograptus socialis
4	1	0	1028.7991	1	{[0004]	Appendispi	longispinus	0	*	FAD	(C++	7)	(tag:	not	assigned)	Appendispinograptus longispinus hvalross
5	1	0	1028.7991	1	{[0005]	Dicellogra	complanatus	0	*	FAD	(C++	9)	(tag:	not	assigned)	Dicellograptus complanatus
6	1	0	1028.7991	1	{[0006]	Rectograpt	intermedius	0	*	FAD	(C++	11)	(tag:	not	assigned)	Rectograptus intermedius
7	1	9.9888	1038.7879	1	{[0007]	Dicellogra	complexus	0	*	FAD	(C++	13)	(tag:	not	assigned)	Dicellograptus complexus
8	1	21.1808	1128.0427	3	{[0008]	Anticostia	uniformis	0	*	FAD	(C++	15)	(tag:	not	assigned)	Anticostia uniformis
9	1	0	1043.8567	2	{[0009]	Dicellogra	ornatus	0	*	FAD	(C++	17)	(tag:	not	assigned)	Dicellograptus ornatus
10	1	0	1106.8619	2	{[0010]	Dicellogra	tenuiculus	0	*	FAD	(C++	19)	(tag:	not	assigned)	Dicellograptus tenuiculus
11	1	0	1043.8567	2	{[0011]	Paraplegma	connectus	0	*	FAD	(C++	21)	(tag:	not	assigned)	Paraplegmatograptus connectus
12	1	0	1106.8619	2	{[0012]	Rectograpt	uniformis	0	*	FAD	(C++	23)	(tag:	not	assigned)	Rectograptus uniformis
13	1	0	1129.5963	3	{[0013]	Appendispi	hubeiensis	0	*	FAD	(C++	25)	(tag:	not	assigned)	Appendispinograptus hubeiensis
14	1	0	1043.8567	2	{[0014]	Pararetiog	magnus	0	*	FAD	(C++	27)	(tag:	not	assigned)	Pararetiograptus magnus
15	1	2.7745	1132.3708	3	{[0015]	Anticostia	fastigata	0	*	FAD	(C++	29)	(tag:	not	assigned)	Anticostia fastigata
16	1	0	1043.8567	2	{[0016]	Appendispi	supernus	0	*	FAD	(C++	31)	(tag:	not	assigned)	Appendispinograptus supernus
17	1	13.8725	1146.2433	3	{[0017]	Dicellogra	complanatus	0	*	FAD	(C++	33)	(tag:	not	assigned)	Dicellograptus complanatus arkansasensis
18	1	0	1043.8567	2	{[0018]	Pararetiog	sinensis	0	*	FAD	(C++	35)	(tag:	not	assigned)	Pararetiograptus sinensis
19	1	63.0053	1106.8619	2	{[0019]	Rectograpt	abbreviatus	0	*	FAD	(C++	37)	(tag:	not	assigned)	Rectograptus abbreviatus
20	1	0	1146.2433	3	{[0020]	Yinograptu	disjunctus	0	*	FAD	(C++	39)	(tag:	not	assigned)	Yinograptus disjunctus
21	1	2.5519	1152.8462	3	{[0021]	Climacogra	hastatus	0	*	FAD	(C++	41)	(tag:	not	assigned)	Climacograptus hastatus
22	1	4.051	1150.2943	3	{[0022]	Dicellogra	minor	0	*	FAD	(C++	43)	(tag:	not	assigned)	Dicellograptus minor
23	1	0	1152.8462	3	{[0023]	Leptograpt	annectans	0	*	FAD	(C++	45)	(tag:	not	assigned)	Leptograptus annectans amplectens
24	1	0	1152.8462	3	{[0024]	Rectograpt	amplexicaulis	0	*	FAD	(C++	47)	(tag:	not	assigned)	Rectograptus amplexicaulis
25	1	0	1150.2943	3	{[0025]	Rectograpt	songtaoensis	0	*	FAD	(C++	49)	(tag:	not	assigned)	Rectograptus songtaoensis
26	1	0	1193.0074	7	{[0026]	Dicellogra	graciliramosus	0	*	FAD	(C++	51)	(tag:	not	assigned)	Dicellograptus graciliramosus
27	1	6.7153	1192.2805	6	{[0027]	Leptograpt	extremus	0	*	FAD	(C++	53)	(tag:	not	assigned)	Leptograptus extremus
28	1	0.3323	1193.0074	7	{[0028]	Leptograpt	macer	0	*	FAD	(C++	55)	(tag:	not	assigned)	Leptograptus macer
29	1	0	1193.0074	7	{[0029]	Leptograpt	planus	0	*	FAD	(C++	57)	(tag:	not	assigned)	Leptograptus planus
30	1	0	1193.0074	7	{[0030]	Orthograpt	maximus	0	*	FAD	(C++	59)	(tag:	not	assigned)	Orthograptus maximus
31	1	0.9298	1177.8353	4	{[0031]	Paraorthog	pacificus	0	*	FAD	(C++	61)	(tag:	not	assigned)	Paraorthograptus pacificus
32	1	11.3579	1176.9055	4	{[0032]	Appendispi	leptothecalis	0	*	FAD	(C++	63)	(tag:	not	assigned)	Appendispinograptus leptothecalis
33	1	0	1156.6195	3	{[0033]	Appendispi	venustus	0	*	FAD	(C++	65)	(tag:	not	assigned)	Appendispinograptus venustus
34	1	0	1043.8567	2	{[0034]	Dicellogra	anceps	0	*	FAD	(C++	67)	(tag:	not	assigned)	Dicellograptus anceps
35	1	1.5933	1199.891	7	{[0035]	Paraorthog	brevispinus	0	*	FAD	(C++	69)	(tag:	not	assigned)	Paraorthograptus brevispinus
36	1	0	1177.8353	4	{[0036]	Tangyagrap	typicus	0	*	FAD	(C++	71)	(tag:	not	assigned)	Tangyagraptus typicus
37	1	0	1201.9838	7	{[0037]	Normalogra	mohawkensis	0	*	FAD	(C++	73)	(tag:	not	assigned)	Normalograptus mohawkensis
38	1	0	1185.5652	5	{[0038]	Paraplegma	uniformis	0	*	FAD	(C++	75)	(tag:	not	assigned)	Paraplegmatograptus uniformis
39	1	2.497	1207.6066	7	{[0039]	Paraorthog	affinis	0	*	FAD	(C++	77)	(tag:	not	assigned)	Paraorthograptus affinis
40	1	0	1208.0822	7	{[0040]	Appendispi	sinicus	0	*	FAD	(C++	79)	(tag:	not	assigned)	Appendispinograptus sinicus
41	1	0	1156.6195	3	{[0041]	Dicellogra	tumidus	0	*	FAD	(C++	81)	(tag:	not	assigned)	Dicellograptus tumidus
42	1	1.9141	1227.304	8	{[0042]	Diceratogr	mirus	0	*	FAD	(C++	83)	(tag:	not	assigned)	Diceratograptus mirus
43	1	1.8382	1229.1421	9	{[0043]	Normalogra	normalis	0	*	FAD	(C++	85)	(tag:	not	assigned)	Normalograptus normalis
44	1	0	1236.0871	8	{[0044]	Metabologr	extraordinarius	0	*	FAD	(C++	87)	(tag:	not	assigned)	Metabolograptus extraordinarius
45	1	0	1236.0871	8	{[0045]	Metabologr	ojsuensis	0	*	FAD	(C++	89)	(tag:	not	assigned)	Metabolograptus ojsuensis
46	1	1.2677	1260.9766	13	{[0046]	Metabologr	extraordinarius	0	*	FAD	(C++	91)	(tag:	not	assigned)	Metabolograptus extraordinarius variabilis
47	1	2.0153	1248.4776	10	{[0047]	Normalogra	angustus	0	*	FAD	(C++	93)	(tag:	not	assigned)	Normalograptus angustus
48	1	0	1252.7311	11	{[0048]	Korenograp	lungmaensis	0	*	FAD	(C++	95)	(tag:	not	assigned)	Korenograptus lungmaensis
49	1	3.4832	1252.7311	11	{[0049]	Metabologr	avitus	0	*	FAD	(C++	97)	(tag:	not	assigned)	Metabolograptus avitus
50	1	2.2412	1268.479	13	{[0050]	Normalogra	gracilis	0	*	FAD	(C++	99)	(tag:	not	assigned)	Normalograptus gracilis
51	1	0.1183	1275.6096	15	{[0051]	Akidograpt	ascensus	0	*	FAD	(C++	101)	(tag:	not	assigned)	Akidograptus ascensus
52	1	0	1321.6132	13	{[0052]	Atavograpt	gracilis	0	*	FAD	(C++	103)	(tag:	not	assigned)	Atavograptus gracilis
53	1	1.5311	1321.6132	13	{[0053]	Cystograpt	vesiculosus	0	*	FAD	(C++	105)	(tag:	not	assigned)	Cystograptus vesiculosus
54	1	0	1321.6132	13	{[0054]	Dimorphogr	malayensis	0	*	FAD	(C++	107)	(tag:	not	assigned)	Dimorphograptus malayensis
55	1	1.263	1238.6428	10	{[0055]	Korenograp	laciniosus	0	*	FAD	(C++	109)	(tag:	not	assigned)	Korenograptus laciniosus
56	1	1.1282	1269.6071	14	{[0056]	Metabologr	bicaudatus	0	*	FAD	(C++	111)	(tag:	not	assigned)	Metabolograptus bicaudatus
57	1	0	1283.3928	15	{[0057]	Normalogra	premedius	0	*	FAD	(C++	113)	(tag:	not	assigned)	Normalograptus premedius
58	1	0.9692	1282.2097	15	{[0058]	Normalogra	rectangularis	0	*	FAD	(C++	115)	(tag:	not	assigned)	Normalograptus rectangularis
59	1	0	1319.7287	13	{[0059]	Normalogra	tortithecatus	0	*	FAD	(C++	117)	(tag:	not	assigned)	Normalograptus tortithecatus
60	1	1.827	1302.7596	15	{[0060]	Paraclimac	innotatus	0	*	FAD	(C++	119)	(tag:	not	assigned)	Paraclimacograptus innotatus
61	1	0.5592	1270.1664	14	{[0061]	Parakidogr	acuminatus	0	*	FAD	(C++	121)	(tag:	not	assigned)	Parakidograptus acuminatus
62	1	0	1321.6132	13	{[0062]	Pseudoclim	(Metaclimacograptus)	0	*	FAD	(C++	123)	(tag:	not	assigned)	Pseudoclimacograptus (Metaclimacograptus) robustus
63	1	0	1324.7208	12	{[0063]	Orthograpt	lingulatus	0	*	FAD	(C++	125)	(tag:	not	assigned)	Orthograptus lingulatus
64	1	0.3533	1320.082	13	{[0064]	Atavograpt	atavus	0	*	FAD	(C++	127)	(tag:	not	assigned)	Atavograptus atavus
65	1	0	1396.9491	2	{[0065]	Atavograpt	strachani	0	*	FAD	(C++	129)	(tag:	not	assigned)	Atavograptus strachani
66	1	0	1396.9491	2	{[0066]	Atavograpt	tenellus	0	*	FAD	(C++	131)	(tag:	not	assigned)	Atavograptus tenellus
67	1	0	1396.9491	2	{[0067]	Glyptograp	tangshanensis	0	*	FAD	(C++	133)	(tag:	not	assigned)	Glyptograptus tangshanensis
68	1	0	1396.9491	2	{[0068]	Lagarograp	acinaces	0	*	FAD	(C++	135)	(tag:	not	assigned)	Lagarograptus acinaces
69	1	0	1396.9491	2	{[0069]	Normalogra	lunata	0	*	FAD	(C++	137)	(tag:	not	assigned)	Normalograptus lunata
70	1	0	1400.2787	2	{[0070]	Normalogra	minutus	0	*	FAD	(C++	139)	(tag:	not	assigned)	Normalograptus minutus
71	1	0	1403.6911	2	{[0071]	Glyptograp	tamariscus	0	*	FAD	(C++	141)	(tag:	not	assigned)	Glyptograptus tamariscus linearis
72	1	0	1403.6911	2	{[0072]	Monoclimac	lunata	0	*	FAD	(C++	143)	(tag:	not	assigned)	Monoclimacis lunata
73	1	0	1165.5476	4	{[0073]	Pararetiog	uniformis	0	*	FAD	(C++	145)	(tag:	not	assigned)	Pararetiograptus uniformis
74	1	8.9281	1165.5476	4	{[0074]	Tangyagrap	grandis	0	*	FAD	(C++	147)	(tag:	not	assigned)	Tangyagraptus grandis
75	1	0	1177.8353	4	{[0075]	Appendispi	supernus	0	*	FAD	(C++	149)	(tag:	not	assigned)	Appendispinograptus supernus sinicus
76	1	0	1218.5236	8	{[0076]	Dicellogra	planus	0	*	FAD	(C++	151)	(tag:	not	assigned)	Dicellograptus planus
77	1	0	1216.6636	8	{[0077]	Normalogra	acutus	0	*	FAD	(C++	153)	(tag:	not	assigned)	Normalograptus acutus
78	1	1.86	1218.5236	8	{[0078]	Normalogra	tatianae	0	*	FAD	(C++	155)	(tag:	not	assigned)	Normalograptus tatianae
79	1	4.1731	1212.945	7	{[0079]	Rectograpt	obesus	0	*	FAD	(C++	157)	(tag:	not	assigned)	Rectograptus obesus
80	1	0	1391.5425	3	{[0080]	Dimorphogr	longicaudatus	0	*	FAD	(C++	159)	(tag:	not	assigned)	Dimorphograptus longicaudatus
81	1	0	1294.2959	16	{[0081]	Sudburigra	robustus	0	*	FAD	(C++	161)	(tag:	not	assigned)	Sudburigraptus robustus
