Event_Name,Event_number,Type,Depth,FIX
Amplexograptus latus,Graptolite,1,-4.44659081257122e-323,0
Amplexograptus latus,Graptolite,2,0.851573731471247,0
Anticostia uniformis,Graptolite,1,0.0130344827586207,0
Anticostia uniformis,Graptolite,2,0.289630742456668,0
Appendispinograptus supernus,Graptolite,1,0.0599999999999999,0
Appendispinograptus supernus,Graptolite,2,0.290692375039796,0
Rectograptus abbreviatus,Graptolite,1,-4.94065645841247e-322,0
Rectograptus abbreviatus,Graptolite,2,0.285249913546094,0
Climacograptus hastatus,Graptolite,1,0.00651724137931038,0
Climacograptus hastatus,Graptolite,2,0.28,0
Paraorthograptus pacificus,Graptolite,1,-4.94065645841247e-322,0
Paraorthograptus pacificus,Graptolite,2,0.285249913546094,0
Normalograptus normalis,Graptolite,1,0.23562542826336,0
Normalograptus normalis,Graptolite,2,2.38000000000004,0
Metabolograptus extraordinarius,Graptolite,1,0,0
Metabolograptus extraordinarius,Graptolite,2,0.31098853868195,0
Metabolograptus ojsuensis,Graptolite,1,0,0
Metabolograptus ojsuensis,Graptolite,2,0.31098853868195,0
Normalograptus angustus,Graptolite,1,0.06,0
Normalograptus angustus,Graptolite,2,2.38000000000001,0
Korenograptus lungmaensis,Graptolite,1,0,0
Korenograptus lungmaensis,Graptolite,2,2.38000000000006,0
Metabolograptus avitus,Graptolite,1,0,0
Metabolograptus avitus,Graptolite,2,2.38000000000003,0
Akidograptus ascensus,Graptolite,1,0.03,0
Akidograptus ascensus,Graptolite,2,1.96,0
Cystograptus vesiculosus,Graptolite,1,0.58,0
Cystograptus vesiculosus,Graptolite,2,2.38000000000002,0
Korenograptus laciniosus,Graptolite,1,0,0
Korenograptus laciniosus,Graptolite,2,2.38000000000004,0
Metabolograptus bicaudatus,Graptolite,1,0.03,0
Metabolograptus bicaudatus,Graptolite,2,1.5775,0
Normalograptus premedius,Graptolite,1,0.171495064022206,0
Normalograptus premedius,Graptolite,2,2.38000000000006,0
Normalograptus rectangularis,Graptolite,1,0.350000000000001,0
Normalograptus rectangularis,Graptolite,2,2.38000000000003,0
Normalograptus tortithecatus,Graptolite,1,0.58,0
Normalograptus tortithecatus,Graptolite,2,2.38000000000004,0
Paraclimacograptus innotatus,Graptolite,1,0.330494269340974,0
Paraclimacograptus innotatus,Graptolite,2,2.38000000000006,0
Parakidograptus acuminatus,Graptolite,1,0.293093376032362,0
Parakidograptus acuminatus,Graptolite,2,2.38000000000001,0
Normalograptus tatianae,Graptolite,1,0.21,0
Normalograptus tatianae,Graptolite,2,0.285637058261701,0
Normalograptus mirnyensis,Graptolite,1,0,0
Normalograptus mirnyensis,Graptolite,2,2.38000000000001,0
Neodiplograptus parajanus,Graptolite,1,0.342990128044413,0
Neodiplograptus parajanus,Graptolite,2,2.38000000000006,0
Korenograptus pseudotamariscus,Graptolite,1,0.175,0
Korenograptus pseudotamariscus,Graptolite,2,1.864,0
Neodiplograptus modestus,Graptolite,1,0.21,0
Neodiplograptus modestus,Graptolite,2,2.37000000000004,0
Atavograptus primitivus,Graptolite,1,0.35,0
Atavograptus primitivus,Graptolite,2,0.6934375,0
Neodiplograptus shanchongensis,Graptolite,1,0.06,0
Neodiplograptus shanchongensis,Graptolite,2,1.87250000000002,0
Hirsutograptus sinitzini,Graptolite,1,0.729999999999996,0
Hirsutograptus sinitzini,Graptolite,2,2.35000000000002,0
Paramplexograptus madernii,Graptolite,1,0.28,0
Paramplexograptus madernii,Graptolite,2,1.66800000000001,0
Hirsutograptus angustifolius,Graptolite,1,0,0
Hirsutograptus angustifolius,Graptolite,2,1.1,0
Metabolograptus daedalus,Graptolite,1,0.06,0
Metabolograptus daedalus,Graptolite,2,0.28,0
Normalograptus ajjeri,Graptolite,1,0.12,0
Normalograptus ajjeri,Graptolite,2,2.38000000000004,0
Neodiplograptus charis,Graptolite,1,0.21,0
Neodiplograptus charis,Graptolite,2,0.35,0
Korenograptus jerini,Graptolite,1,0.330494269340974,0
Korenograptus jerini,Graptolite,2,2.33666666666668,0
Metabolograptus wangjiawanensis,Graptolite,1,0.06,0
Metabolograptus wangjiawanensis,Graptolite,2,2.38000000000006,0
Paramplexograptus paucispinus,Graptolite,1,0.330494269340974,0
Paramplexograptus paucispinus,Graptolite,2,2.145,0
Paramplexograptus wuningensis,Graptolite,1,0.330494269340974,0
Paramplexograptus wuningensis,Graptolite,2,1.98,0
Normalograptus anjiensis,Graptolite,1,0.35,0
Normalograptus anjiensis,Graptolite,2,1.844375,0
Normalograptus targuii,Graptolite,1,0.41,0
Normalograptus targuii,Graptolite,2,1.98,0
Hirsutograptus tenuis,Graptolite,1,0.56,0
Hirsutograptus tenuis,Graptolite,2,0.999999999999999,0
Paramplexograptus kiliani,Graptolite,1,0.35,0
Paramplexograptus kiliani,Graptolite,2,0.43,0
Hirsutograptus longus,Graptolite,1,0.679647435897436,0
Hirsutograptus longus,Graptolite,2,1.62325,0
Hirsutograptus comantis,Graptolite,1,0.91,0
Hirsutograptus comantis,Graptolite,2,2.38,0
Metabolograptus nanjingensis,Graptolite,1,0.56,0
Metabolograptus nanjingensis,Graptolite,2,1.53,0
Metabolograptus guizhouensis,Graptolite,1,0,0
Metabolograptus guizhouensis,Graptolite,2,2.18,0
Metabolograptus persculptus,Graptolite,1,0,0
Metabolograptus persculptus,Graptolite,2,0.28,0
Hirsutograptus jideliensis,Graptolite,1,0.35,0
Hirsutograptus jideliensis,Graptolite,2,1.38166666666666,0
Normalograptus imperfectus,Graptolite,1,0.56,0
Normalograptus imperfectus,Graptolite,2,1,0
Hirsutograptus jinyangensis,Graptolite,1,0.35,0
Hirsutograptus jinyangensis,Graptolite,2,1.1,0
Neodiplograptus anhuiensis,Graptolite,1,0.932374999999999,0
Neodiplograptus anhuiensis,Graptolite,2,1.88,0
Akidograptus cuneatus,Graptolite,1,0.56,0
Akidograptus cuneatus,Graptolite,2,2.18,0
Hirsutograptus similaris,Graptolite,1,0.171495064022206,0
Hirsutograptus similaris,Graptolite,2,2.38,0
Cystograptus ancestralis,Graptolite,1,1.63,0
Cystograptus ancestralis,Graptolite,2,1.75,0
Metabolograptus parvulus,Graptolite,1,0,0
Metabolograptus parvulus,Graptolite,2,0.91,0
Metabolograptus rhizimus,Graptolite,1,0.06,0
Metabolograptus rhizimus,Graptolite,2,0.91,0
Normalograptus minor,Graptolite,1,0.28,0
Normalograptus minor,Graptolite,2,0.35,0
Akidograptus giganteus,Graptolite,1,0.56,0
Akidograptus giganteus,Graptolite,2,1,0
Metaclimacograptus pictus,Graptolite,1,0.56,0
Metaclimacograptus pictus,Graptolite,2,2.18,0
Hirsutograptus robustus,Graptolite,1,1.23,0
Hirsutograptus robustus,Graptolite,2,1.98,0
Dimorphograptus confertus,Graptolite,1,2.18,0
Dimorphograptus confertus,Graptolite,2,2.38,0
Normalograptus pseudonormalis,Graptolite,1,2.18,0
Normalograptus pseudonormalis,Graptolite,2,2.38,0
Atavograptus atavus,Graptolite,2,2.38000000000004,0
Lagarograptus acinaces,Graptolite,2,2.38000000000004,0
Normalograptus minutus,Graptolite,2,2.38000000000004,0
Glyptograptus tamariscus linearis,Graptolite,2,2.38000000000004,0
Monoclimacis lunata,Graptolite,2,2.38000000000004,0
Normalograptus gracilis,Graptolite,2,2.38000000000004,0
Glyptograptus tamariscus linearis,Graptolite,1,2.38000000000004,0
Monoclimacis lunata,Graptolite,1,2.38000000000004,0
Atavograptus strachani,Graptolite,2,2.38000000000002,0
Atavograptus tenellus,Graptolite,2,2.38000000000002,0
Glyptograptus tangshanensis,Graptolite,2,2.38000000000002,0
Normalograptus lunata,Graptolite,2,2.38000000000002,0
Normalograptus minutus,Graptolite,1,2.38000000000002,0
Atavograptus strachani,Graptolite,1,2.38000000000001,0
Atavograptus tenellus,Graptolite,1,2.38000000000001,0
Glyptograptus tangshanensis,Graptolite,1,2.38000000000001,0
Lagarograptus acinaces,Graptolite,1,2.38000000000001,0
Normalograptus lunata,Graptolite,1,2.38000000000001,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,2,2.38000000000001,0
Atavograptus atavus,Graptolite,1,1.42114173228347,0
Atavograptus gracilis,Graptolite,2,1.985,0
Dimorphograptus malayensis,Graptolite,2,1.985,0
Orthograptus lingulatus,Graptolite,2,1.985,0
Orthograptus lingulatus,Graptolite,1,0.9325,0
Atavograptus gracilis,Graptolite,1,0.58,0
Dimorphograptus malayensis,Graptolite,1,0.58,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,1,0.58,0
Metabolograptus extraordinarius variabilis,Graptolite,2,0.310988538681948,0
Normalograptus gracilis,Graptolite,1,0.310988538681948,0
Metabolograptus extraordinarius variabilis,Graptolite,1,0.275283383595946,0
Appendispinograptus leptothecalis,Graptolite,2,0.26631642084075,0
Anticostia fastigata,Graptolite,2,0.247074074074074,0
Yinograptus disjunctus,Graptolite,2,0.247074074074074,0
Rectograptus songtaoensis,Graptolite,2,0.247074074074074,0
Paraplegmatograptus uniformis,Graptolite,2,0.247074074074074,0
Diceratograptus mirus,Graptolite,2,0.273414814814815,0
Dicellograptus ornatus,Graptolite,2,0.285249913546094,0
Paraplegmatograptus connectus,Graptolite,2,1.32315821042039,0
Rectograptus uniformis,Graptolite,2,0.281004761538939,0
Appendispinograptus hubeiensis,Graptolite,2,0.241207150774211,0
Dicellograptus graciliramosus,Graptolite,2,0.23562542826336,0
Diceratograptus mirus,Graptolite,1,0.115360363417906,0
Appendispinograptus sinicus,Graptolite,2,0.23090279809461,0
Dicellograptus tumidus,Graptolite,2,0.23090279809461,0
Normalograptus mohawkensis,Graptolite,2,0.226989761669074,0
Paraorthograptus affinis,Graptolite,2,0.226989761669074,0
Appendispinograptus sinicus,Graptolite,1,0.226989761669074,0
Dicellograptus tumidus,Graptolite,1,0.14397598921629,0
Dicellograptus minor,Graptolite,2,0.22429111585836,0
Paraorthograptus affinis,Graptolite,1,0.224291115858359,0
Paraorthograptus brevispinus,Graptolite,2,0.268558477295848,0
Tangyagraptus typicus,Graptolite,2,0.218025046145792,0
Paraplegmatograptus uniformis,Graptolite,1,0.128360331111432,0
Rectograptus amplexicaulis,Graptolite,2,0.205535527473895,0
Leptograptus planus,Graptolite,2,0.205535527473895,0
Normalograptus mohawkensis,Graptolite,1,0.205535527473895,0
Appendispinograptus venustus,Graptolite,2,0.200677965014607,0
Dicellograptus anceps,Graptolite,2,0.200677965014609,0
Appendispinograptus leptothecalis,Graptolite,1,0.00651724137931038,0
Appendispinograptus venustus,Graptolite,1,0.14397598921629,0
Dicellograptus anceps,Graptolite,1,0.0575431034482759,0
Paraorthograptus brevispinus,Graptolite,1,0.193661485906752,0
Tangyagraptus typicus,Graptolite,1,0.00651724137931038,0
Leptograptus extremus,Graptolite,2,0.247401843134043,0
Leptograptus macer,Graptolite,2,0.221692755458331,0
Orthograptus maximus,Graptolite,2,0.184621022440858,0
Dicellograptus complexus,Graptolite,2,0.179898392272108,0
Dicellograptus complanatus arkansasensis,Graptolite,2,0.179898392272108,0
Leptograptus annectans amplectens,Graptolite,2,0.179898392272108,0
Dicellograptus graciliramosus,Graptolite,1,0.179898392272108,0
Leptograptus extremus,Graptolite,1,0.17272733212957,0
Leptograptus macer,Graptolite,1,0.179898392272108,0
