Event_Name,Event_number,Type,Depth,FIX
Amplexograptus latus,Graptolite,1,-4.94065645841247e-323,0
Amplexograptus latus,Graptolite,2,13.1253763370155,0
Amplexograptus longispinus,Graptolite,1,0,0
Amplexograptus longispinus,Graptolite,2,1.73,0
Rectograptus socialis,Graptolite,1,0,0
Rectograptus socialis,Graptolite,2,3.245,0
Appendispinograptus longispinus hvalross,Graptolite,1,1.73,0
Appendispinograptus longispinus hvalross,Graptolite,2,14.2001587301587,0
Dicellograptus complanatus,Graptolite,1,1.73,0
Dicellograptus complanatus,Graptolite,2,2.52,0
Rectograptus intermedius,Graptolite,1,1.73,0
Rectograptus intermedius,Graptolite,2,2.8,0
Dicellograptus complexus,Graptolite,1,1.165,0
Dicellograptus complexus,Graptolite,2,9.46122288518773,0
Anticostia uniformis,Graptolite,1,0.84,0
Anticostia uniformis,Graptolite,2,13.1159328735501,0
Dicellograptus ornatus,Graptolite,1,2.52,0
Dicellograptus ornatus,Graptolite,2,12.698253968254,0
Dicellograptus tenuiculus,Graptolite,1,2.52,0
Dicellograptus tenuiculus,Graptolite,2,2.8,0
Paraplegmatograptus connectus,Graptolite,1,0.84,0
Paraplegmatograptus connectus,Graptolite,2,14.2001587301587,0
Rectograptus uniformis,Graptolite,1,2.52,0
Rectograptus uniformis,Graptolite,2,13.0294923040194,0
Appendispinograptus hubeiensis,Graptolite,1,2.8,0
Appendispinograptus hubeiensis,Graptolite,2,11.34,0
Pararetiograptus magnus,Graptolite,1,2.8,0
Pararetiograptus magnus,Graptolite,2,9.2991975308642,0
Anticostia fastigata,Graptolite,1,3.3,0
Anticostia fastigata,Graptolite,2,11.54,0
Appendispinograptus supernus,Graptolite,1,3.53,0
Appendispinograptus supernus,Graptolite,2,12.9248915407509,0
Dicellograptus complanatus arkansasensis,Graptolite,1,5.8,0
Dicellograptus complanatus arkansasensis,Graptolite,2,7.21,0
Pararetiograptus sinensis,Graptolite,1,5.8,0
Pararetiograptus sinensis,Graptolite,2,9.2991975308642,0
Rectograptus abbreviatus,Graptolite,1,1.0875,0
Rectograptus abbreviatus,Graptolite,2,12.698253968254,0
Yinograptus disjunctus,Graptolite,1,2.62010869565217,0
Yinograptus disjunctus,Graptolite,2,11.54,0
Climacograptus hastatus,Graptolite,1,0.42,0
Climacograptus hastatus,Graptolite,2,12.6650992063492,0
Dicellograptus minor,Graptolite,1,6.53,0
Dicellograptus minor,Graptolite,2,10.5,0
Leptograptus annectans amplectens,Graptolite,1,6.53,0
Leptograptus annectans amplectens,Graptolite,2,7.21,0
Rectograptus amplexicaulis,Graptolite,1,6.53,0
Rectograptus amplexicaulis,Graptolite,2,9.11,0
Rectograptus songtaoensis,Graptolite,1,6.53,0
Rectograptus songtaoensis,Graptolite,2,11.54,0
Dicellograptus graciliramosus,Graptolite,1,7.21,0
Dicellograptus graciliramosus,Graptolite,2,11.34,0
Leptograptus extremus,Graptolite,1,5.2375,0
Leptograptus extremus,Graptolite,2,11.0535174960556,0
Leptograptus macer,Graptolite,1,7.21,0
Leptograptus macer,Graptolite,2,10.1016891971121,0
Leptograptus planus,Graptolite,1,7.21,0
Leptograptus planus,Graptolite,2,9.11,0
Orthograptus maximus,Graptolite,1,7.21,0
Orthograptus maximus,Graptolite,2,7.56,0
Paraorthograptus pacificus,Graptolite,1,-1.82804288961261e-322,0
Paraorthograptus pacificus,Graptolite,2,12.698253968254,0
Appendispinograptus leptothecalis,Graptolite,1,0.42,0
Appendispinograptus leptothecalis,Graptolite,2,11.9896207153315,0
Appendispinograptus venustus,Graptolite,1,6.51826785714286,0
Appendispinograptus venustus,Graptolite,2,8.75,0
Dicellograptus anceps,Graptolite,1,4.1125,0
Dicellograptus anceps,Graptolite,2,8.75,0
Paraorthograptus brevispinus,Graptolite,1,8.23,0
Paraorthograptus brevispinus,Graptolite,2,11.6603174603175,0
Tangyagraptus typicus,Graptolite,1,0.42,0
Tangyagraptus typicus,Graptolite,2,9.84839506172839,0
Normalograptus mohawkensis,Graptolite,1,9.11,0
Normalograptus mohawkensis,Graptolite,2,10.7,0
Paraplegmatograptus uniformis,Graptolite,1,5.84313986013986,0
Paraplegmatograptus uniformis,Graptolite,2,11.54,0
Paraorthograptus affinis,Graptolite,1,10.5,0
Paraorthograptus affinis,Graptolite,2,10.7,0
Appendispinograptus sinicus,Graptolite,1,10.7,0
Appendispinograptus sinicus,Graptolite,2,10.99,0
Dicellograptus tumidus,Graptolite,1,6.51826785714286,0
Dicellograptus tumidus,Graptolite,2,10.99,0
Diceratograptus mirus,Graptolite,1,5.2197073554785,0
Diceratograptus mirus,Graptolite,2,12.317543901949,0
Normalograptus normalis,Graptolite,1,11.34,0
Normalograptus normalis,Graptolite,2,16.74,0
Metabolograptus extraordinarius,Graptolite,1,0,0
Metabolograptus extraordinarius,Graptolite,2,14.63,0
Metabolograptus ojsuensis,Graptolite,1,0,0
Metabolograptus ojsuensis,Graptolite,2,14.63,0
Metabolograptus extraordinarius variabilis,Graptolite,1,12.63,0
Metabolograptus extraordinarius variabilis,Graptolite,2,14.63,0
Normalograptus angustus,Graptolite,1,3.53,0
Normalograptus angustus,Graptolite,2,16.124546875,0
