Event_Name,Event_number,Type,Depth,FIX
Amplexograptus latus,Graptolite,1,-4.94065645841247e-323,0
Amplexograptus latus,Graptolite,2,14.4169444444444,0
Amplexograptus longispinus,Graptolite,1,0,0
Amplexograptus longispinus,Graptolite,2,1.73,0
Rectograptus socialis,Graptolite,1,0,0
Rectograptus socialis,Graptolite,2,2.33,0
Appendispinograptus longispinus hvalross,Graptolite,1,1.73,0
Appendispinograptus longispinus hvalross,Graptolite,2,14.1313043478261,0
Dicellograptus complanatus,Graptolite,1,1.73,0
Dicellograptus complanatus,Graptolite,2,2.52,0
Rectograptus intermedius,Graptolite,1,1.73,0
Rectograptus intermedius,Graptolite,2,2.8,0
Dicellograptus complexus,Graptolite,1,0,0
Dicellograptus complexus,Graptolite,2,7.21,0
Anticostia uniformis,Graptolite,1,-9.88131291682493e-322,0
Anticostia uniformis,Graptolite,2,13.6873118141289,0
Dicellograptus ornatus,Graptolite,1,2.52,0
Dicellograptus ornatus,Graptolite,2,13.1038888888889,0
Dicellograptus tenuiculus,Graptolite,1,2.52,0
Dicellograptus tenuiculus,Graptolite,2,2.8,0
Paraplegmatograptus connectus,Graptolite,1,-9.88131291682493e-322,0
Paraplegmatograptus connectus,Graptolite,2,14.1313043478261,0
Rectograptus uniformis,Graptolite,1,2.52,0
Rectograptus uniformis,Graptolite,2,12.7761111111111,0
Appendispinograptus hubeiensis,Graptolite,1,2.8,0
Appendispinograptus hubeiensis,Graptolite,2,11.34,0
Pararetiograptus magnus,Graptolite,1,2.41,0
Pararetiograptus magnus,Graptolite,2,9.1161316872428,0
Anticostia fastigata,Graptolite,1,3.3,0
Anticostia fastigata,Graptolite,2,11.54,0
Appendispinograptus supernus,Graptolite,1,1.26,0
Appendispinograptus supernus,Graptolite,2,13.934071930727,0
Dicellograptus complanatus arkansasensis,Graptolite,1,5.8,0
Dicellograptus complanatus arkansasensis,Graptolite,2,7.21,0
Pararetiograptus sinensis,Graptolite,1,2.50857142857143,0
Pararetiograptus sinensis,Graptolite,2,9.1161316872428,0
Rectograptus abbreviatus,Graptolite,1,-4.94065645841247e-322,0
Rectograptus abbreviatus,Graptolite,2,13.1038888888889,0
Yinograptus disjunctus,Graptolite,1,1.4542505088748,0
Yinograptus disjunctus,Graptolite,2,11.54,0
Climacograptus hastatus,Graptolite,1,-9.88131291682493e-322,0
Climacograptus hastatus,Graptolite,2,13.0181196581196,0
Dicellograptus minor,Graptolite,1,5.46512512831557,0
Dicellograptus minor,Graptolite,2,11.0541666666667,0
Leptograptus annectans amplectens,Graptolite,1,6.53,0
Leptograptus annectans amplectens,Graptolite,2,7.21,0
Rectograptus amplexicaulis,Graptolite,1,6.53,0
Rectograptus amplexicaulis,Graptolite,2,9.11,0
Rectograptus songtaoensis,Graptolite,1,6.53,0
Rectograptus songtaoensis,Graptolite,2,11.54,0
Dicellograptus graciliramosus,Graptolite,1,7.21,0
Dicellograptus graciliramosus,Graptolite,2,11.34,0
Leptograptus extremus,Graptolite,1,6.24660968660968,0
Leptograptus extremus,Graptolite,2,7.56,0
Leptograptus macer,Graptolite,1,7.21,0
Leptograptus macer,Graptolite,2,10.1016891971121,0
Leptograptus planus,Graptolite,1,7.21,0
Leptograptus planus,Graptolite,2,9.11,0
Orthograptus maximus,Graptolite,1,7.21,0
Orthograptus maximus,Graptolite,2,7.56,0
Paraorthograptus pacificus,Graptolite,1,-9.88131291682493e-322,0
Paraorthograptus pacificus,Graptolite,2,13.1038888888889,0
Appendispinograptus leptothecalis,Graptolite,1,-9.88131291682493e-322,0
Appendispinograptus leptothecalis,Graptolite,2,11.64,0
Appendispinograptus venustus,Graptolite,1,3.86278521801212,0
Appendispinograptus venustus,Graptolite,2,8.75,0
Dicellograptus anceps,Graptolite,1,2.18428571428571,0
Dicellograptus anceps,Graptolite,2,8.75,0
Paraorthograptus brevispinus,Graptolite,1,8.23,0
Paraorthograptus brevispinus,Graptolite,2,12.2794444444444,0
Tangyagraptus typicus,Graptolite,1,-9.88131291682493e-322,0
Tangyagraptus typicus,Graptolite,2,9.84839506172839,0
Normalograptus mohawkensis,Graptolite,1,9.11,0
Normalograptus mohawkensis,Graptolite,2,10.7,0
Paraplegmatograptus uniformis,Graptolite,1,2.85928284772995,0
Paraplegmatograptus uniformis,Graptolite,2,11.54,0
Paraorthograptus affinis,Graptolite,1,10.5,0
Paraorthograptus affinis,Graptolite,2,10.7,0
Appendispinograptus sinicus,Graptolite,1,10.7,0
Appendispinograptus sinicus,Graptolite,2,10.99,0
Dicellograptus tumidus,Graptolite,1,3.86278521801212,0
Dicellograptus tumidus,Graptolite,2,10.99,0
Diceratograptus mirus,Graptolite,1,5.2197073554785,0
Diceratograptus mirus,Graptolite,2,14.1313043478261,0
Normalograptus normalis,Graptolite,1,11.34,0
Normalograptus normalis,Graptolite,2,16.6226086956522,0
Metabolograptus extraordinarius,Graptolite,1,0,0
Metabolograptus extraordinarius,Graptolite,2,14.63,0
Metabolograptus ojsuensis,Graptolite,1,0,0
Metabolograptus ojsuensis,Graptolite,2,14.63,0
Metabolograptus extraordinarius variabilis,Graptolite,1,12.63,0
Metabolograptus extraordinarius variabilis,Graptolite,2,14.63,0
Normalograptus angustus,Graptolite,1,1.26,0
Normalograptus angustus,Graptolite,2,16.3296796338673,0
Korenograptus lungmaensis,Graptolite,1,-4.94065645841247e-322,0
Korenograptus lungmaensis,Graptolite,2,16.4028913043478,0
Metabolograptus avitus,Graptolite,1,0,0
Metabolograptus avitus,Graptolite,2,16.775652173913,0
Normalograptus gracilis,Graptolite,1,14.63,0
Normalograptus gracilis,Graptolite,2,16.74,0
Akidograptus ascensus,Graptolite,1,3.265,0
Akidograptus ascensus,Graptolite,2,16.094306392249,0
Atavograptus gracilis,Graptolite,1,15.03,0
Atavograptus gracilis,Graptolite,2,15.48,0
Cystograptus vesiculosus,Graptolite,1,15.03,0
Cystograptus vesiculosus,Graptolite,2,16.6813043478261,0
Dimorphograptus malayensis,Graptolite,1,15.03,0
Dimorphograptus malayensis,Graptolite,2,15.48,0
Korenograptus laciniosus,Graptolite,1,0,0
Korenograptus laciniosus,Graptolite,2,16.65,0
Metabolograptus bicaudatus,Graptolite,1,-2.27270197086973e-322,0
Metabolograptus bicaudatus,Graptolite,2,15.3893112244898,0
Normalograptus premedius,Graptolite,1,3.265,0
Normalograptus premedius,Graptolite,2,17,0
Normalograptus rectangularis,Graptolite,1,15.03,0
Normalograptus rectangularis,Graptolite,2,16.74,0
Normalograptus tortithecatus,Graptolite,1,15.03,0
Normalograptus tortithecatus,Graptolite,2,17,0
Paraclimacograptus innotatus,Graptolite,1,14.83,0
