Event_Name,Event_number,Type,Depth,FIX
Amplexograptus latus,Graptolite,1,0,0
Amplexograptus latus,Graptolite,2,8.37914245719826,0
Rectograptus socialis,Graptolite,1,0,0
Rectograptus socialis,Graptolite,2,0.3,0
Dicellograptus complexus,Graptolite,1,0,0
Dicellograptus complexus,Graptolite,2,6.80000000000001,0
Anticostia uniformis,Graptolite,1,0.300000000000001,0
Anticostia uniformis,Graptolite,2,7.77,0
Dicellograptus ornatus,Graptolite,1,0.3,0
Dicellograptus ornatus,Graptolite,2,8,0
Paraplegmatograptus connectus,Graptolite,1,0.3,0
Paraplegmatograptus connectus,Graptolite,2,8.36666666666667,0
Rectograptus uniformis,Graptolite,1,0.3,0
Rectograptus uniformis,Graptolite,2,7.8,0
Appendispinograptus hubeiensis,Graptolite,1,1.10888888888889,0
Appendispinograptus hubeiensis,Graptolite,2,7.37,0
Pararetiograptus magnus,Graptolite,1,0.3,0
Pararetiograptus magnus,Graptolite,2,6.95864600781686,0
Anticostia fastigata,Graptolite,1,4.80666666666667,0
Anticostia fastigata,Graptolite,2,7.45266666666667,0
Appendispinograptus supernus,Graptolite,1,0.3,0
Appendispinograptus supernus,Graptolite,2,7.84082524271845,0
Pararetiograptus sinensis,Graptolite,1,0.3,0
Pararetiograptus sinensis,Graptolite,2,6.95864600781686,0
Rectograptus abbreviatus,Graptolite,1,4.01670278637772,0
Rectograptus abbreviatus,Graptolite,2,8,0
Yinograptus disjunctus,Graptolite,1,3.59225432863204,0
Yinograptus disjunctus,Graptolite,2,7.44366666666667,0
Climacograptus hastatus,Graptolite,1,3.86333333333334,0
Climacograptus hastatus,Graptolite,2,7.50204267146884,0
Dicellograptus minor,Graptolite,1,4.3994847020934,0
Dicellograptus minor,Graptolite,2,7.42824678853311,0
Leptograptus extremus,Graptolite,1,6.16,0
Leptograptus extremus,Graptolite,2,6.88,0
Leptograptus macer,Graptolite,1,6.80000000000001,0
Leptograptus macer,Graptolite,2,6.88,0
Paraorthograptus pacificus,Graptolite,1,1.896,0
Paraorthograptus pacificus,Graptolite,2,8,0
Appendispinograptus leptothecalis,Graptolite,1,6,0
Appendispinograptus leptothecalis,Graptolite,2,7.65882524271845,0
Appendispinograptus venustus,Graptolite,1,3.86333333333333,0
Appendispinograptus venustus,Graptolite,2,6.9407719151312,0
Dicellograptus anceps,Graptolite,1,0.3,0
Dicellograptus anceps,Graptolite,2,6.9407719151312,0
Paraorthograptus brevispinus,Graptolite,1,6.7,0
Paraorthograptus brevispinus,Graptolite,2,7.8,0
Tangyagraptus typicus,Graptolite,1,6.56,0
Tangyagraptus typicus,Graptolite,2,6.97652010050252,0
Dicellograptus tumidus,Graptolite,1,5.72,0
Dicellograptus tumidus,Graptolite,2,7.05516610831938,0
Normalograptus normalis,Graptolite,1,7.07304020100502,0
Normalograptus normalis,Graptolite,2,10.8114657671658,0
Metabolograptus extraordinarius,Graptolite,1,1.982,0
Metabolograptus extraordinarius,Graptolite,2,8.38,0
Metabolograptus ojsuensis,Graptolite,1,1.948,0
Metabolograptus ojsuensis,Graptolite,2,8.38,0
Korenograptus lungmaensis,Graptolite,1,1.228,0
Korenograptus lungmaensis,Graptolite,2,11.8315625000004,0
Akidograptus ascensus,Graptolite,1,7.07304020100493,0
Akidograptus ascensus,Graptolite,2,10.8114657671658,0
Cystograptus vesiculosus,Graptolite,1,10.16,0
Cystograptus vesiculosus,Graptolite,2,11.574392510404,0
Korenograptus laciniosus,Graptolite,1,1.948,0
Korenograptus laciniosus,Graptolite,2,11.8315625000002,0
Normalograptus rectangularis,Graptolite,1,8.52999999999997,0
Normalograptus rectangularis,Graptolite,2,11.3172225208076,0
Tangyagraptus grandis,Graptolite,1,4.3994847020934,0
Tangyagraptus grandis,Graptolite,2,7.51435665817998,0
Appendispinograptus supernus sinicus,Graptolite,1,6.44,0
Appendispinograptus supernus sinicus,Graptolite,2,7.37,0
Normalograptus tatianae,Graptolite,1,7.08500604876233,0
Normalograptus tatianae,Graptolite,2,7.63804267146884,0
Dicellograptus mirabilis,Graptolite,1,6.7,0
Dicellograptus mirabilis,Graptolite,2,8,0
Paraorthograptus longispinus,Graptolite,1,7.03333333333333,0
Paraorthograptus longispinus,Graptolite,2,7.84166666666667,0
Normalograptus mirnyensis,Graptolite,1,1.88860804020099,0
Normalograptus mirnyensis,Graptolite,2,11.7982457881936,0
Neodiplograptus modestus,Graptolite,1,6.4765,0
Neodiplograptus modestus,Graptolite,2,11.7195616390336,0
Paraorthograptus uniformis,Graptolite,1,7.2,0
Paraorthograptus uniformis,Graptolite,2,8.3356875,0
Pseudoclimacograptus chiai,Graptolite,1,0,0
Pseudoclimacograptus chiai,Graptolite,2,0.3,0
Normalograptus jiangxiensis,Graptolite,1,8.53,0
Normalograptus jiangxiensis,Graptolite,2,9.14,0
Hirsutograptus sinitzini,Graptolite,1,8.71,0
Hirsutograptus sinitzini,Graptolite,2,11.2995584104091,0
Paramplexograptus madernii,Graptolite,1,7.99106020983401,0
Paramplexograptus madernii,Graptolite,2,10.6066862965328,0
Appendispinograptus longispinus hvalross,Graptolite,2,8.98166666666667,0
Diceratograptus mirus,Graptolite,2,8.98166666666667,0
Rectograptus songtaoensis,Graptolite,2,7.44366666666667,0
Diceratograptus mirus,Graptolite,1,7.07304020100502,0
Appendispinograptus longispinus hvalross,Graptolite,1,0.205952380952381,0
Rectograptus songtaoensis,Graptolite,1,6.69999999999999,0
Dicellograptus turgidus,Graptolite,2,6.7,0
Dicellograptus turgidus,Graptolite,1,3.43,0
Normalograptus premedius,Graptolite,2,11.8315625000002,0
Metabolograptus avitus,Graptolite,2,10.7100000000001,0
Sudburigraptus robustus,Graptolite,2,11.0157570667915,0
Dimorphograptus confertus nankingensis,Graptolite,2,10.7100000000001,0
Metabolograptus bicaudatus,Graptolite,2,10.5722585066114,0
Normalograptus premedius,Graptolite,1,7.875,0
Sudburigraptus robustus,Graptolite,1,9.38,0
Sudburigraptus angustifolius,Graptolite,2,9.38,0
Dimorphograptus confertus nankingensis,Graptolite,1,9.38,0
Paraclimacograptus jinyangensis,Graptolite,2,9.38,0
Normalograptus angustus,Graptolite,2,11.8315625000002,0
Metabolograptus bicaudatus,Graptolite,1,7.07304020100493,0
Normalograptus angustus,Graptolite,1,1.89757546439629,0
Sudburigraptus angustifolius,Graptolite,1,8.56583333333333,0
Neodiplograptus guantangyuanensis,Graptolite,2,9.9675859829547,0
Paraclimacograptus jinyangensis,Graptolite,1,8.56583333333333,0
Metabolograptus avitus,Graptolite,1,1.228,0
Neodiplograptus guantangyuanensis,Graptolite,1,8.1275,0
Climacograptus hastatus vesicicaulis,Graptolite,2,6.86562722113952,0
Climacograptus hastatus vesicicaulis,Graptolite,1,6.64051495635512,0
Paraplegmatograptus uniformis,Graptolite,2,7.44816666666667,0
Paraplegmatograptus uniformis,Graptolite,1,3.13,0
Parakidograptus acuminatus,Graptolite,2,11.7982457881937,0
Paramplexograptus wuningensis,Graptolite,2,10.7100000000002,0
Dictyonema cucurbitinum,Graptolite,2,10.7100000000002,0
Hirsutograptus comantis,Graptolite,2,11.574392510404,0
Parakidograptus acuminatus,Graptolite,1,7.8,0
