Event_Name,Event_number,Type,Depth,FIX
Normalograptus angustus,Graptolite,1,-2.72724236504368e-321,0
Normalograptus angustus,Graptolite,2,1.03025828773042,0
Korenograptus lungmaensis,Graptolite,1,-2.96439387504748e-321,0
Korenograptus lungmaensis,Graptolite,2,1.01,0
Akidograptus ascensus,Graptolite,1,0,0
Akidograptus ascensus,Graptolite,2,1.00489542561422,0
Korenograptus laciniosus,Graptolite,1,-1.82804288961261e-321,0
Korenograptus laciniosus,Graptolite,2,1.29,0
Metabolograptus bicaudatus,Graptolite,1,0,0
Metabolograptus bicaudatus,Graptolite,2,1.00071688019661,0
Normalograptus premedius,Graptolite,1,0,0
Normalograptus premedius,Graptolite,2,1.29,0
Paraclimacograptus innotatus,Graptolite,1,0.0333333333333333,0
Paraclimacograptus innotatus,Graptolite,2,1.14000000000001,0
Parakidograptus acuminatus,Graptolite,1,0.11,0
Parakidograptus acuminatus,Graptolite,2,1.01898590456766,0
Normalograptus mirnyensis,Graptolite,1,-2.96439387504748e-321,0
Normalograptus mirnyensis,Graptolite,2,1.00162903225806,0
Neodiplograptus parajanus,Graptolite,1,0,0
Neodiplograptus parajanus,Graptolite,2,1.27000000000002,0
Korenograptus pseudotamariscus,Graptolite,1,-1.36362118252184e-321,0
Korenograptus pseudotamariscus,Graptolite,2,1.27000000000002,0
Neodiplograptus modestus,Graptolite,1,-6.91691904177745e-322,0
Neodiplograptus modestus,Graptolite,2,1.27000000000002,0
Atavograptus primitivus,Graptolite,1,0.17,0
Atavograptus primitivus,Graptolite,2,0.28,0
Hirsutograptus sinitzini,Graptolite,1,0.28,0
Hirsutograptus sinitzini,Graptolite,2,0.986290697674418,0
Paramplexograptus madernii,Graptolite,1,0.000921985815602835,0
Paramplexograptus madernii,Graptolite,2,0.817759689922479,0
Normalograptus ajjeri,Graptolite,1,-2.72724236504368e-321,0
Normalograptus ajjeri,Graptolite,2,1.29,0
Korenograptus jerini,Graptolite,1,0.0333333333333333,0
Korenograptus jerini,Graptolite,2,0.995493698424606,0
Metabolograptus wangjiawanensis,Graptolite,1,-1.49701890689898e-321,0
Metabolograptus wangjiawanensis,Graptolite,2,1.14000000000001,0
Normalograptus anjiensis,Graptolite,1,0.00414893617021276,0
Normalograptus anjiensis,Graptolite,2,0.876097346451996,0
Hirsutograptus comantis,Graptolite,1,0.5,0
Hirsutograptus comantis,Graptolite,2,1.14581451612903,0
Metabolograptus guizhouensis,Graptolite,1,-2.96439387504748e-321,0
Metabolograptus guizhouensis,Graptolite,2,0.995493698424606,0
Hirsutograptus jideliensis,Graptolite,1,0.138181818181818,0
Hirsutograptus jideliensis,Graptolite,2,0.805814516129032,0
Hirsutograptus jinyangensis,Graptolite,1,0.06,0
Hirsutograptus jinyangensis,Graptolite,2,0.817759689922479,0
Neodiplograptus anhuiensis,Graptolite,1,0.28,0
Neodiplograptus anhuiensis,Graptolite,2,0.986290697674418,0
Akidograptus cuneatus,Graptolite,1,0.408833382224563,0
Akidograptus cuneatus,Graptolite,2,0.995493698424606,0
Hirsutograptus similaris,Graptolite,1,0,0
Hirsutograptus similaris,Graptolite,2,1.14581451612903,0
Normalograptus normalis,Graptolite,2,1.25000000000001,0
Cystograptus vesiculosus,Graptolite,2,1.25000000000001,0
Normalograptus rectangularis,Graptolite,2,1.25000000000001,0
Cystograptus vesiculosus,Graptolite,1,0.995493698424606,0
