Event_Name,Event_number,Type,Depth,FIX
Amplexograptus latus,Graptolite,1,-3.26083326255223e-322,0
Amplexograptus latus,Graptolite,2,7.955,0
Rectograptus socialis,Graptolite,1,0,0
Rectograptus socialis,Graptolite,2,0.3,0
Dicellograptus complexus,Graptolite,1,0,0
Dicellograptus complexus,Graptolite,2,7.03,0
Anticostia uniformis,Graptolite,1,0.0737715517241379,0
Anticostia uniformis,Graptolite,2,8,0
Dicellograptus ornatus,Graptolite,1,0.166293103448276,0
Dicellograptus ornatus,Graptolite,2,8,0
Paraplegmatograptus connectus,Graptolite,1,0.0643965517241379,0
Paraplegmatograptus connectus,Graptolite,2,7.32667346938776,0
Rectograptus uniformis,Graptolite,1,0.147543103448276,0
Rectograptus uniformis,Graptolite,2,7.8,0
Appendispinograptus hubeiensis,Graptolite,1,0.26343881412952,0
Appendispinograptus hubeiensis,Graptolite,2,7.37,0
Pararetiograptus magnus,Graptolite,1,0.17840622371741,0
Pararetiograptus magnus,Graptolite,2,6.541,0
Anticostia fastigata,Graptolite,1,0.476615678441267,0
Anticostia fastigata,Graptolite,2,8,0
Appendispinograptus supernus,Graptolite,1,0.15,0
Appendispinograptus supernus,Graptolite,2,8.01229773462783,0
Pararetiograptus sinensis,Graptolite,1,0.3,0
Pararetiograptus sinensis,Graptolite,2,6.541,0
Rectograptus abbreviatus,Graptolite,1,-7.4109846876187e-322,0
Rectograptus abbreviatus,Graptolite,2,8,0
Yinograptus disjunctus,Graptolite,1,0.0104242410044978,0
Yinograptus disjunctus,Graptolite,2,8,0
Climacograptus hastatus,Graptolite,1,0.036885775862069,0
Climacograptus hastatus,Graptolite,2,7.95989115646259,0
Dicellograptus minor,Graptolite,1,5.8295652173913,0
Dicellograptus minor,Graptolite,2,7.39867346938775,0
Leptograptus extremus,Graptolite,1,6.02886956521739,0
Leptograptus extremus,Graptolite,2,6.26,0
Leptograptus macer,Graptolite,1,6.02886956521739,0
Leptograptus macer,Graptolite,2,6.88,0
Paraorthograptus pacificus,Graptolite,1,-6.17582057301558e-322,0
Paraorthograptus pacificus,Graptolite,2,8,0
Appendispinograptus leptothecalis,Graptolite,1,0.036885775862069,0
Appendispinograptus leptothecalis,Graptolite,2,8.01229773462783,0
Appendispinograptus venustus,Graptolite,1,5.72,0
Appendispinograptus venustus,Graptolite,2,6.56,0
Dicellograptus anceps,Graptolite,1,0.3,0
Dicellograptus anceps,Graptolite,2,6.56,0
Paraorthograptus brevispinus,Graptolite,1,6.24195378151261,0
Paraorthograptus brevispinus,Graptolite,2,7.8,0
Tangyagraptus typicus,Graptolite,1,0.036885775862069,0
Tangyagraptus typicus,Graptolite,2,6.7,0
Dicellograptus tumidus,Graptolite,1,5.72,0
Dicellograptus tumidus,Graptolite,2,6.75777001791055,0
Normalograptus normalis,Graptolite,1,4.0525,0
Normalograptus normalis,Graptolite,2,10.71,0
