Event_Name,Event_number,Type,Depth,FIX
Korenograptus lungmaensis,Graptolite,1,0,0
Korenograptus lungmaensis,Graptolite,2,6.20000000000012,0
Akidograptus ascensus,Graptolite,1,0.1,0
Akidograptus ascensus,Graptolite,2,6.20000000000011,0
Korenograptus laciniosus,Graptolite,1,0.090231721343711,0
Korenograptus laciniosus,Graptolite,2,6.20000000000021,0
Paraclimacograptus innotatus,Graptolite,1,3.55,0
Paraclimacograptus innotatus,Graptolite,2,6.20000000000012,0
Parakidograptus acuminatus,Graptolite,1,0,0
Parakidograptus acuminatus,Graptolite,2,6.20000000000016,0
Normalograptus mirnyensis,Graptolite,1,0.0640543619791667,0
Normalograptus mirnyensis,Graptolite,2,6.20000000000016,0
Neodiplograptus parajanus,Graptolite,1,0.437557618437899,0
Neodiplograptus parajanus,Graptolite,2,6.20000000000012,0
Normalograptus ajjeri,Graptolite,1,0,0
Normalograptus ajjeri,Graptolite,2,6.20000000000021,0
Paramplexograptus wuningensis,Graptolite,1,3.5007801046976,0
Paramplexograptus wuningensis,Graptolite,2,6.20000000000011,0
Metabolograptus nanjingensis,Graptolite,1,0.85,0
Metabolograptus nanjingensis,Graptolite,2,6.20000000000011,0
Metabolograptus guizhouensis,Graptolite,1,0.0473876953125,0
Metabolograptus guizhouensis,Graptolite,2,6.20000000000012,0
Normalograptus normalis,Graptolite,2,6.20000000000012,0
Normalograptus rectangularis,Graptolite,2,6.2000000000002,0
Atavograptus atavus,Graptolite,2,6.20000000000025,0
Agetograptus secundus,Graptolite,2,4.25,0
Normalograptus sinuatus,Graptolite,2,4.25,0
Agetograptus secundus,Graptolite,1,4.11666666666667,0
Normalograptus sinuatus,Graptolite,1,4.11666666666667,0
Cystograptus vesiculosus,Graptolite,2,6.20000000000019,0
Dimorphograptus confertus nankingensis,Graptolite,2,6.2000000000002,0
Dimorphograptus confertus nankingensis,Graptolite,1,2.54340659340659,0
Cystograptus vesiculosus,Graptolite,1,1.98736263736264,0
Atavograptus atavus,Graptolite,1,1.33021978021978,0
Metabolograptus avitus,Graptolite,2,6.2000000000002,0
Metabolograptus avitus,Graptolite,1,0.0473876953125,0
Sudburigraptus angustifolius,Graptolite,2,3.52500000000008,0
Amplexograptus latus,Graptolite,2,0.212596030729832,0
Dicellograptus ornatus,Graptolite,2,0.1,0
Climacograptus hastatus,Graptolite,2,0.1,0
Paraorthograptus pacificus,Graptolite,2,0.217952151983466,0
Normalograptus normalis,Graptolite,1,0.0883039696600526,0
Metabolograptus extraordinarius,Graptolite,2,0.300704225352112,0
Normalograptus rectangularis,Graptolite,1,0.1,0
Dicellograptus mirabilis,Graptolite,2,0.1,0
Sudburigraptus angustifolius,Graptolite,1,0.1,0
Anticostia uniformis,Graptolite,2,0.217952151983466,0
Dicellograptus ornatus,Graptolite,1,0.0311363873836345,0
Metabolograptus extraordinarius,Graptolite,1,0.0921630859375,0
Dicellograptus mirabilis,Graptolite,1,0.0707606179371819,0
Anticostia uniformis,Graptolite,1,0.00683593749999991,0
Yinograptus disjunctus,Graptolite,2,0.192601202314894,0
Climacograptus hastatus,Graptolite,1,0.00683593749999991,0
Paraorthograptus pacificus,Graptolite,1,0.00683593749999991,0
Yinograptus disjunctus,Graptolite,1,0.0371335575707018,0
Amplexograptus latus,Graptolite,1,0.03076171875,0
Rectograptus abbreviatus,Graptolite,2,0.217952151983466,0
Rectograptus abbreviatus,Graptolite,1,0.0068359375,0
Neodiplograptus modestus,Graptolite,2,6.20000000000018,0
Normalograptus jiangxiensis,Graptolite,2,2.16864342553998,0
Hirsutograptus sinitzini,Graptolite,2,6.20000000000011,0
Paramplexograptus madernii,Graptolite,2,6.20000000000011,0
Hirsutograptus sinitzini,Graptolite,1,0.85,0
Paramplexograptus madernii,Graptolite,1,0.199699036504181,0
Neodiplograptus modestus,Graptolite,1,0.0970611572265625,0
Normalograptus jiangxiensis,Graptolite,1,0.550384122919329,0
Metabolograptus ojsuensis,Graptolite,2,0.300704225352112,0
Rectograptus uniformis,Graptolite,2,0.176154985716085,0
Appendispinograptus supernus,Graptolite,2,0.195622314437508,0
Paraorthograptus brevispinus,Graptolite,2,1.11372714783096,0
Paraorthograptus brevispinus,Graptolite,1,0.0689674950461575,0
Paraorthograptus uniformis,Graptolite,2,0.575352112676056,0
Appendispinograptus leptothecalis,Graptolite,2,0.194936787275726,0
Normalograptus tatianae,Graptolite,2,0.185418715194767,0
Appendispinograptus hubeiensis,Graptolite,2,0.116658238952193,0
Metabolograptus ojsuensis,Graptolite,1,0.090231721343711,0
Appendispinograptus supernus sinicus,Graptolite,2,0.090231721343711,0
Paraorthograptus longispinus,Graptolite,2,2.12869857254108,0
Paraorthograptus uniformis,Graptolite,1,0.0883003567499221,0
Anticostia fastigata,Graptolite,2,0.192601202314894,0
Normalograptus tatianae,Graptolite,1,0.0873914792940214,0
Paraorthograptus longispinus,Graptolite,1,0.0873914792940214,0
Paraplegmatograptus connectus,Graptolite,2,0.127562084194705,0
Leptograptus macer,Graptolite,2,0.0846648469263194,0
Leptograptus macer,Graptolite,1,0.0837559694704186,0
Tangyagraptus typicus,Graptolite,2,0.0902209960268376,0
Tangyagraptus grandis,Graptolite,2,0.140985596132473,0
Dicellograptus minor,Graptolite,2,0.096552477070179,0
Appendispinograptus venustus,Graptolite,2,0.0897920484054344,0
Tangyagraptus typicus,Graptolite,1,0.00683593749999991,0
Tangyagraptus grandis,Graptolite,1,0.0490765284141736,0
Appendispinograptus supernus sinicus,Graptolite,1,0.0791700998942057,0
Dicellograptus minor,Graptolite,1,0.0490765284141736,0
Leptograptus extremus,Graptolite,2,0.0880898994701746,0
Anticostia fastigata,Graptolite,1,0.0360406692692515,0
Leptograptus extremus,Graptolite,1,0.0594019520689973,0
Appendispinograptus leptothecalis,Graptolite,1,0.00683593749999991,0
Pararetiograptus sinensis,Graptolite,2,0.090006522216136,0
Dicellograptus tumidus,Graptolite,2,0.0920143667388193,0
Rectograptus uniformis,Graptolite,1,0.0326628367313448,0
Appendispinograptus hubeiensis,Graptolite,1,0.0338557789396621,0
Pararetiograptus magnus,Graptolite,2,0.090006522216136,0
Appendispinograptus venustus,Graptolite,1,0.0388164145700213,0
Dicellograptus anceps,Graptolite,2,0.0897920484054344,0
Dicellograptus tumidus,Graptolite,1,0.0388164145700213,0
