Event_Name,Event_number,Type,Depth,FIX
Amplexograptus latus,Graptolite,1,0,0
Amplexograptus latus,Graptolite,2,14.0475719419097,0
Amplexograptus longispinus,Graptolite,1,0,0
Amplexograptus longispinus,Graptolite,2,1.73,0
Rectograptus socialis,Graptolite,1,0,0
Rectograptus socialis,Graptolite,2,2.7665,0
Appendispinograptus longispinus hvalross,Graptolite,1,1.73,0
Appendispinograptus longispinus hvalross,Graptolite,2,13.9075,0
Dicellograptus complanatus,Graptolite,1,1.73,0
Dicellograptus complanatus,Graptolite,2,2.52,0
Rectograptus intermedius,Graptolite,1,1.73,0
Rectograptus intermedius,Graptolite,2,2.8,0
Dicellograptus complexus,Graptolite,1,1.165,0
Dicellograptus complexus,Graptolite,2,9.48091346153846,0
Anticostia uniformis,Graptolite,1,-3.11649094214038e+15,0
Anticostia uniformis,Graptolite,2,14.4063194444444,0
Dicellograptus ornatus,Graptolite,1,2.52,0
Dicellograptus ornatus,Graptolite,2,13.9075,0
Dicellograptus tenuiculus,Graptolite,1,2.52,0
Dicellograptus tenuiculus,Graptolite,2,2.8,0
Paraplegmatograptus connectus,Graptolite,1,-3.11649094214038e+15,0
Paraplegmatograptus connectus,Graptolite,2,13.9075,0
Rectograptus uniformis,Graptolite,1,2.52,0
Rectograptus uniformis,Graptolite,2,13.3825,0
Appendispinograptus hubeiensis,Graptolite,1,2.8,0
Appendispinograptus hubeiensis,Graptolite,2,11.8389230769231,0
Pararetiograptus magnus,Graptolite,1,2.8,0
Pararetiograptus magnus,Graptolite,2,9.1,0
Anticostia fastigata,Graptolite,1,3.3,0
Anticostia fastigata,Graptolite,2,11.6168251291619,0
Appendispinograptus supernus,Graptolite,1,3.25,0
Appendispinograptus supernus,Graptolite,2,14.7245138888889,0
Dicellograptus complanatus arkansasensis,Graptolite,1,5.8,0
Dicellograptus complanatus arkansasensis,Graptolite,2,7.21,0
Pararetiograptus sinensis,Graptolite,1,3.25,0
Pararetiograptus sinensis,Graptolite,2,10.99,0
Rectograptus abbreviatus,Graptolite,1,3.22090909090909,0
Rectograptus abbreviatus,Graptolite,2,13.3825,0
Yinograptus disjunctus,Graptolite,1,5.8,0
Yinograptus disjunctus,Graptolite,2,11.54,0
Climacograptus hastatus,Graptolite,1,-3.11649094214038e+15,0
Climacograptus hastatus,Graptolite,2,11.9636538461539,0
Dicellograptus minor,Graptolite,1,6.53,0
Dicellograptus minor,Graptolite,2,11.565,0
Leptograptus annectans amplectens,Graptolite,1,6.53,0
Leptograptus annectans amplectens,Graptolite,2,7.21,0
Rectograptus amplexicaulis,Graptolite,1,6.53,0
Rectograptus amplexicaulis,Graptolite,2,9.11,0
Rectograptus songtaoensis,Graptolite,1,6.53,0
Rectograptus songtaoensis,Graptolite,2,11.54,0
Dicellograptus graciliramosus,Graptolite,1,7.21,0
Dicellograptus graciliramosus,Graptolite,2,11.34,0
Leptograptus extremus,Graptolite,1,3.3,0
Leptograptus extremus,Graptolite,2,11.5955555555556,0
Leptograptus macer,Graptolite,1,7.21,0
Leptograptus macer,Graptolite,2,9.38373564867968,0
Leptograptus planus,Graptolite,1,7.21,0
Leptograptus planus,Graptolite,2,9.11,0
Orthograptus maximus,Graptolite,1,7.21,0
Orthograptus maximus,Graptolite,2,7.56,0
Paraorthograptus pacificus,Graptolite,1,-3.11649094214038e+15,0
Paraorthograptus pacificus,Graptolite,2,14.63,0
Appendispinograptus leptothecalis,Graptolite,1,-3.11649094214038e+15,0
Appendispinograptus leptothecalis,Graptolite,2,12.5245930232558,0
Appendispinograptus venustus,Graptolite,1,3.0825,0
Appendispinograptus venustus,Graptolite,2,9.68416666666667,0
Dicellograptus anceps,Graptolite,1,3.736,0
Dicellograptus anceps,Graptolite,2,8.75,0
Paraorthograptus brevispinus,Graptolite,1,8.23,0
Paraorthograptus brevispinus,Graptolite,2,13.9075,0
Tangyagraptus typicus,Graptolite,1,-3.11649094214038e+15,0
Tangyagraptus typicus,Graptolite,2,10.1839423076923,0
Normalograptus mohawkensis,Graptolite,1,9.11,0
Normalograptus mohawkensis,Graptolite,2,10.7,0
Paraplegmatograptus uniformis,Graptolite,1,-779122735535089,0
Paraplegmatograptus uniformis,Graptolite,2,11.54,0
Paraorthograptus affinis,Graptolite,1,10.5,0
Paraorthograptus affinis,Graptolite,2,10.7,0
Appendispinograptus sinicus,Graptolite,1,10.7,0
Appendispinograptus sinicus,Graptolite,2,10.99,0
Dicellograptus tumidus,Graptolite,1,4.493,0
Dicellograptus tumidus,Graptolite,2,10.99,0
Diceratograptus mirus,Graptolite,1,11.34,0
Diceratograptus mirus,Graptolite,2,11.9636538461538,0
Normalograptus normalis,Graptolite,1,11.34,0
Normalograptus normalis,Graptolite,2,16.175,0
Metabolograptus extraordinarius,Graptolite,1,9.0725,0
Metabolograptus extraordinarius,Graptolite,2,14.7733962264151,0
Metabolograptus ojsuensis,Graptolite,1,9.0725,0
Metabolograptus ojsuensis,Graptolite,2,14.7733962264151,0
Metabolograptus extraordinarius variabilis,Graptolite,1,12.63,0
Metabolograptus extraordinarius variabilis,Graptolite,2,14.63,0
Normalograptus angustus,Graptolite,1,-4.34507292048705e+16,0
Normalograptus angustus,Graptolite,2,16.2074342105263,0
Korenograptus lungmaensis,Graptolite,1,-4.34507292048705e+16,0
Korenograptus lungmaensis,Graptolite,2,16.01,0
Metabolograptus avitus,Graptolite,1,-2.17253646024353e+16,0
Metabolograptus avitus,Graptolite,2,16.74,0
Normalograptus gracilis,Graptolite,1,14.63,0
Normalograptus gracilis,Graptolite,2,16.74,0
Akidograptus ascensus,Graptolite,1,-4.34507292048705e+16,0
Akidograptus ascensus,Graptolite,2,15.5607061162363,0
Atavograptus gracilis,Graptolite,1,15.03,0
Atavograptus gracilis,Graptolite,2,15.48,0
Cystograptus vesiculosus,Graptolite,1,15.03,0
Cystograptus vesiculosus,Graptolite,2,16.3754797380341,0
Dimorphograptus malayensis,Graptolite,1,15.03,0
Dimorphograptus malayensis,Graptolite,2,15.48,0
Korenograptus laciniosus,Graptolite,1,-2.17253646024353e+16,0
Korenograptus laciniosus,Graptolite,2,16.0475,0
Metabolograptus bicaudatus,Graptolite,1,-4.34507292048705e+16,0
Metabolograptus bicaudatus,Graptolite,2,15.4906447717945,0
Normalograptus premedius,Graptolite,1,13.2968269230769,0
Normalograptus premedius,Graptolite,2,17,0
Normalograptus rectangularis,Graptolite,1,15.03,0
Normalograptus rectangularis,Graptolite,2,16.74,0
Normalograptus tortithecatus,Graptolite,1,15.03,0
Normalograptus tortithecatus,Graptolite,2,17,0
Paraclimacograptus innotatus,Graptolite,1,14.8948148148148,0
Paraclimacograptus innotatus,Graptolite,2,16.01,0
Parakidograptus acuminatus,Graptolite,1,10.5891666666667,0
Parakidograptus acuminatus,Graptolite,2,15.73,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,1,15.03,0
Pseudoclimacograptus (Metaclimacograptus) robustus,Graptolite,2,15.73,0
Orthograptus lingulatus,Graptolite,1,15.28,0
Orthograptus lingulatus,Graptolite,2,15.48,0
Atavograptus atavus,Graptolite,1,14.74375,0
Atavograptus atavus,Graptolite,2,17,0
Atavograptus strachani,Graptolite,1,15.93,0
Atavograptus strachani,Graptolite,2,16.33,0
Atavograptus tenellus,Graptolite,1,15.93,0
Atavograptus tenellus,Graptolite,2,16.33,0
Glyptograptus tangshanensis,Graptolite,1,15.93,0
Glyptograptus tangshanensis,Graptolite,2,16.33,0
Lagarograptus acinaces,Graptolite,1,15.93,0
Lagarograptus acinaces,Graptolite,2,17,0
Normalograptus lunata,Graptolite,1,15.93,0
Normalograptus lunata,Graptolite,2,16.33,0
Normalograptus minutus,Graptolite,1,16.33,0
Normalograptus minutus,Graptolite,2,17,0
Glyptograptus tamariscus linearis,Graptolite,1,16.74,0
Glyptograptus tamariscus linearis,Graptolite,2,17,0
Monoclimacis lunata,Graptolite,1,16.74,0
Monoclimacis lunata,Graptolite,2,17,0
Normalograptus lubricus,Graptolite,2,16.375,0
Normalograptus lubricus,Graptolite,1,15.255,0
Sudburigraptus robustus,Graptolite,2,16.74,0
Dimorphograptus confertus nankingensis,Graptolite,2,16.74,0
Sudburigraptus robustus,Graptolite,1,15.38,0
Normalograptus mirnyensis,Graptolite,2,15.7525,0
Sudburigraptus angustifolius,Graptolite,2,16.1345050125313,0
Dimorphograptus confertus nankingensis,Graptolite,1,15.38,0
Paraclimacograptus jinyangensis,Graptolite,2,15.38,0
Sudburigraptus angustifolius,Graptolite,1,14.7466666666667,0
Neodiplograptus modestus,Graptolite,2,16.1522094760682,0
Neodiplograptus guantangyuanensis,Graptolite,2,15.4486365470659,0
Paraclimacograptus jinyangensis,Graptolite,1,14.7466666666667,0
Normalograptus mirnyensis,Graptolite,1,-4.34507292048705e+16,0
Neodiplograptus modestus,Graptolite,1,10.8873015600471,0
Neodiplograptus guantangyuanensis,Graptolite,1,13.3825,0
Climacograptus hastatus vesicicaulis,Graptolite,2,11.64,0
Climacograptus hastatus vesicicaulis,Graptolite,1,11.5955555555556,0
Neodiplograptus parajanus,Graptolite,2,16.01,0
Metabolograptus wangjiawanensis,Graptolite,2,16.01,0
Normalograptus ajjeri,Graptolite,2,16.1975,0
Hirsutograptus sinitzini,Graptolite,2,15.6201554232149,0
Hirsutograptus tenuis,Graptolite,2,15.3937755102041,0
Hirsutograptus sinitzini,Graptolite,1,15.3389947089947,0
Hirsutograptus tenuis,Graptolite,1,15.3389947089947,0
Atavograptus primitivus,Graptolite,2,15.28,0
Normalograptus anjiensis,Graptolite,2,15.5781634524125,0
Normalograptus targuii,Graptolite,2,15.6232061162363,0
Parakidograptus praematurus,Graptolite,2,15.4640878481155,0
Atavograptus primitivus,Graptolite,1,15.0858943089431,0
Korenograptus jerini,Graptolite,2,15.6878530581181,0
Normalograptus anjiensis,Graptolite,1,-4.34507292048705e+16,0
Normalograptus targuii,Graptolite,1,12.9943708011162,0
Parakidograptus praematurus,Graptolite,1,12.9943708011162,0
Neodiplograptus parajanus,Graptolite,1,13.2968269230769,0
Paramplexograptus paucispinus,Graptolite,2,15.8801293377357,0
Paramplexograptus wuningensis,Graptolite,2,15.6232061162363,0
Korenograptus jerini,Graptolite,1,14.8948148148148,0
Metabolograptus wangjiawanensis,Graptolite,1,9.38904182552142,0
Paramplexograptus paucispinus,Graptolite,1,-4.34507292048705e+16,0
Paramplexograptus wuningensis,Graptolite,1,14.8948148148148,0
Hirsutograptus angustifolius,Graptolite,2,15.5654243152028,0
Neodiplograptus charis,Graptolite,2,15.0579471544715,0
Metabolograptus rhizinus,Graptolite,2,14.6730324074074,0
Metabolograptus rhizinus,Graptolite,1,14.63,0
Metabolograptus daedalus,Graptolite,2,13.3825,0
Neodiplograptus charis,Graptolite,1,10.533848974686,0
Hirsutograptus angustifolius,Graptolite,1,6.315,0
Metabolograptus daedalus,Graptolite,1,6.315,0
Normalograptus ajjeri,Graptolite,1,6.315,0
Korenograptus pseudotamariscus,Graptolite,2,15.5528244649451,0
Hirsutograptus comantis,Graptolite,2,16.37625,0
Metabolograptus guizhouensis,Graptolite,2,15.6878530581181,0
Neodiplograptus anhuiensis,Graptolite,2,15.6201554232149,0
Akidograptus cuneatus,Graptolite,2,15.6878530581181,0
Korenograptus pseudotamariscus,Graptolite,1,9.82733173076923,0
Hirsutograptus comantis,Graptolite,1,15.3307023732096,0
Akidograptus cuneatus,Graptolite,1,15.3389947089947,0
Hirsutograptus jideliensis,Graptolite,2,15.4467051344347,0
Hirsutograptus jideliensis,Graptolite,1,13.0110568251193,0
Hirsutograptus jinyangensis,Graptolite,2,15.8221025672174,0
Neodiplograptus anhuiensis,Graptolite,1,15.3094973544974,0
Paramplexograptus madernii,Graptolite,2,15.6201554232149,0
Hirsutograptus similaris,Graptolite,2,16.37625,0
Paramplexograptus madernii,Graptolite,1,14.2226388888889,0
Hirsutograptus jinyangensis,Graptolite,1,14.7572727272727,0
Metabolograptus guizhouensis,Graptolite,1,-2.17253646024353e+16,0
Hirsutograptus similaris,Graptolite,1,13.2968269230769,0
Dimorphograptus longicaudatus,Graptolite,2,16.555,0
Rectograptus obesus,Graptolite,2,13.845,0
Dimorphograptus longicaudatus,Graptolite,1,13.845,0
Tangyagraptus grandis,Graptolite,2,11.6518269230769,0
Dicellograptus planus,Graptolite,2,11.6518269230769,0
Normalograptus acutus,Graptolite,2,11.6518269230769,0
Normalograptus tatianae,Graptolite,2,14.7245138888889,0
Rectograptus obesus,Graptolite,1,-1.55824547107019e+15,0
Dicellograptus planus,Graptolite,1,10.8069230769231,0
Normalograptus acutus,Graptolite,1,10.8069230769231,0
Normalograptus tatianae,Graptolite,1,10.180396389325,0
Pararetiograptus uniformis,Graptolite,2,9.93461538461538,0
Appendispinograptus supernus sinicus,Graptolite,2,11.5578461538462,0
Appendispinograptus supernus sinicus,Graptolite,1,6.88736956521739,0
Pararetiograptus uniformis,Graptolite,1,6.66304347826087,0
Tangyagraptus grandis,Graptolite,1,6.66304347826087,0
Dicellograptus mirabilis,Graptolite,2,13.9075,0
Paraorthograptus longispinus,Graptolite,2,13.9075,0
Paraorthograptus longispinus,Graptolite,1,10.6552040816327,0
Dicellograptus turgidus,Graptolite,2,6.15833333333333,0
Dicellograptus mirabilis,Graptolite,1,6.15833333333333,0
Dicellograptus turgidus,Graptolite,1,-3.11649094214038e+15,0
Agetograptus secundus,Graptolite,2,16.0475,0
Normalograptus sinuatus,Graptolite,2,16.0475,0
Agetograptus secundus,Graptolite,1,15.8472058823529,0
Normalograptus sinuatus,Graptolite,1,15.8472058823529,0
Paraorthograptus tenuis,Graptolite,2,10.3546153846154,0
Paraorthograptus tenuis,Graptolite,1,-1.55824547107019e+15,0
Dictyonema cucurbitinum,Graptolite,2,15.6232061162363,0
Dictyonema cucurbitinum,Graptolite,1,15.1817448839647,0
Hirsutograptus longus,Graptolite,2,15.5037056253355,0
Hirsutograptus longus,Graptolite,1,14.8708615136876,0
