,,Honghuayuan,,Guanwu,,Fengxiangqiao,,Qinglongzui,,Miaolinwan West,,Bainidacun-Sanhuaicun,,Lanmaxiang South,,Lujiaozhen,,Yangliugou,,Miaolingwan Central,,Wangjiawan Riverside,,Gaojiabian,,Ludiping,,Xiaotan,,Fenxiang,,Guantangyuan,,Wangjiawan North,,Shichang,,Wangjiawan South,,,TaxonMixedID,FossilGroup
,,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,,NaN,Graptolite
1,Amplexograptus latus,0,11.34,0,1.33,0.3,0.8,,,3.5,5.95,,,0,0.24,0,2.4,0,0.3,0,0.36,0,7.8,0,0.3,,,,,,,,,,,,,0,0.06,,NaN,Graptolite
2,Amplexograptus longispinus,0,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
3,Rectograptus socialis,0,2.33,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,,,,,,,,,,,NaN,Graptolite
4,Appendispinograptus longispinus hvalross,1.73,3.3,,,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
5,Dicellograptus complanatus,1.73,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
6,Rectograptus intermedius,1.73,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
7,Dicellograptus complexus,2.33,7.21,,,,,,,,,,,,,0,0.1,,,,,0,0.3,,,,,,,,,,,,,,,,,,NaN,Graptolite
8,Anticostia uniformis,2.52,11.54,0.56,0.84,0,0.8,,,4.65,5.45,,,0,0.38,,,,,,,6.26,7.54,,,,,,,,,,,,,,,0.12,0.21,,NaN,Graptolite
9,Dicellograptus ornatus,2.52,11.34,0,0.95,0.55,0.8,,,5.45,5.95,,,0,0.24,,,0,0.3,0,0.36,0.3,8,,,,,,,,,,,,,,,,,,NaN,Graptolite
10,Dicellograptus tenuiculus,2.52,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
11,Paraplegmatograptus connectus,2.52,11.34,0,0.95,0,0.8,,,,,0,0.07,,,,,0,0.3,,,0.3,7.02,,,,,,,,,,,,,,,,,,NaN,Graptolite
12,Rectograptus uniformis,2.52,11.34,0.84,0.95,,,,,,,,,,,0.1,1.3,0,0.3,,,5.72,7.8,,,,,,,,,,,,,,,,,,NaN,Graptolite
13,Appendispinograptus hubeiensis,2.8,11.34,0.18,0.84,0.3,0.55,,,,,,,0,0.24,,,0,0.3,,,5.72,7.37,,,,,,,,,,,,,,,,,,NaN,Graptolite
14,Pararetiograptus magnus,2.8,3.3,0,0.56,,,,,,,,,,,,,,,,,0.3,5.72,,,,,,,,,,,,,,,,,,NaN,Graptolite
15,Anticostia fastigata,3.3,11.54,,,,,,,,,,,0,0.24,,,,,0,0.36,6.16,7.12,,,,,,,,,,,,,,,,,,NaN,Graptolite
16,Appendispinograptus supernus,5.8,11.64,0,1.33,0.3,0.8,0,0.15,,,0,0.07,0,0.38,0,0.1,0,0.3,0.77,1.15,0.3,7.8,,,,,,,,,,,,,,,0.06,0.28,,NaN,Graptolite
17,Dicellograptus complanatus arkansasensis,5.8,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
18,Pararetiograptus sinensis,5.8,6.53,0,0.56,,,,,,,,,,,,,,,,,0.3,5.9,,,,,,,,,,,,,,,,,,NaN,Graptolite
