,,Section A,,Section B,,,TaxonMixedID,FossilGroup
,,base,top,base,top,,,
1,Sp1,450,538.5,471.1,500,,1,Unknown
2,Sp2,400,517.9,428.6,500,,2,Unknown
3,Sp3,184.6,500,168.8,500,,3,Unknown
4,Sp4,130.8,466.7,85.7,500,,4,Unknown
5,Sp5,,,319.5,459.7,,5,Unknown
6,Sp6,269.2,407.7,129.9,415.6,,6,Unknown
7,Sp7,92.3,348.7,54.5,352.6,,7,Unknown
8,Sp8,61.5,300,0,381.8,,8,Unknown
9,Sp9,30.8,230.8,0,213,,9,Unknown
10,Sp10,,220.5,,184.4,,10,Unknown
11,Sp11,141,425.6,155.8,275.3,,11,Unknown
12,Sp12,102.6,384.6,142.9,246.8,,12,Unknown
13,Bentonite,310,,327.7,,,13,Key bed
